Species_code,Log2_Body_size,Volume,SV,MLD,Flagella,Silice,Mucilage,Aerotopes,MBFG,Biovolume,Category
93,10,824.67,0.8,29.7,0,1,0,0,VI,0,LC
94,7,115.2,1.9,16,0,0,0,0,IV,26.01,LC
95,9,388.75,1.2,25,0,0,0,0,IV,0,LC
96,9,578.58,2,37.5,0,0,0,0,IV,60.26,LC
97,6,65.45,1.2,5,0,0,0,0,IV,349.62,LC
98,6,46.77,1.34,4.47,0,0,0,0,IV,170.47,LC
99,6,87.11,1.1,5.5,0,0,0,0,IV,76.87,LC
100,13,8181.23,0.2,25,0,0,0,0,IV,2399.83,LC
101,8,217.8,1,6.05,0,0,0,0,IV,26.84,LC
102,8,198,1,5.5,0,0,0,0,IV,0,LC
103,10,1139.04,0.6,13.56,0,0,0,0,IV,664.89,LC
104,8,188.5,1.6,9.6,0,0,0,0,IV,173.44,LC
105,8,301.59,1.3,8.6,0,0,0,0,IV,245.13,LC
106,9,469.14,1.2,14.4,0,0,0,0,IV,311.17,LC
107,7,113.1,1.7,5.9,0,0,0,0,IV,31.59,LC
108,7,94.25,1.76,5,0,0,0,0,IV,143,LC
109,9,418.88,1.1,8,0,0,0,0,IV,366.84,LC
110,7,112.25,1.7,3.5,0,0,1,0,VII,111.57,LC
111,3,6.54,2.8,4,0,0,0,0,I,0,LC
112,4,14.84,3.4,17.5,0,0,0,0,I,64.6,LC
113,3,7.74,4.6,17.5,0,0,0,0,I,28.45,LC
114,3,9.33,3.4,11,0,0,0,0,I,4.35,LC
115,5,23.56,4,40,0,0,0,0,IV,6.85,LC
116,4,18.85,2.1,8,0,0,0,0,I,27.19,LC
117,9,384.85,0.7,15,0,0,0,0,IV,727.22,LC
118,7,150.8,0.9,8.2,0,0,0,0,IV,151.53,LC
119,10,1140.4,0.5,18.3,0,0,0,0,IV,0,LC
120,10,1415.81,0.4,15.7,0,0,0,0,IV,0,LC
121,12,5717.7,0.9,56,0,0,0,0,IV,60.4,LC
122,12,3518.58,1.3,50,0,0,0,0,IV,810.35,LC
123,8,301.59,1.3,8.9,0,0,0,0,IV,18.59,LC
124,8,234.57,1.2,13.5,0,0,0,0,IV,23.77,LC
125,10,829.38,0.9,10.6,0,0,0,0,IV,44.22,LC
126,6,50.27,2.5,5.97,0,0,0,0,IV,0,LC
127,6,69.46,1.2,5.1,0,0,0,0,IV,643.2,LC
128,8,212.17,0.8,7.4,0,0,0,0,IV,1245.82,LC
129,5,33.51,1.5,4,0,0,0,0,IV,19.5,LC
130,6,47.4,1.34,4.49,0,0,0,0,IV,4.17,LC
131,8,235.62,1.1,51.18,0,0,1,0,VII,157.34,LC
132,11,2822.2,0.8,15,0,0,1,0,VII,0,LC
133,8,293.22,1.3,17,0,0,1,0,VII,424.08,LC
134,10,785.4,0.5,14.7,1,0,0,0,V,449.69,LC
135,9,551.35,0.6,12.8,1,0,0,0,V,477.07,LC
136,10,837.76,0.5,16,1,0,0,0,V,469.65,LC
137,9,368.61,0.7,11,1,0,0,0,V,0,LC
138,8,188.5,0.9,10,1,0,0,0,V,28.56,LC
139,10,1256.64,0.6,12,0,0,0,0,IV,456.96,LC
140,10,751.36,1,14.2,0,0,0,0,IV,966.12,LC
141,10,1118.41,0.8,35,0,0,0,0,IV,7425.05,LC
142,10,814.97,0.7,38,0,0,0,0,IV,357.6,LC
143,15,23882.41,0.2,60.54,1,0,0,0,V,6643.35,LC
144,11,2508.11,0.3,30.53,1,0,0,0,V,4301.06,LC
145,15,31864.56,0.1,59.11,1,0,0,0,V,25043.12,LC
146,12,3951.34,0.8,42.63,1,0,0,0,V,0,LC
147,9,523.6,0.6,10,1,0,0,0,V,0,LC
148,10,1436.76,0.4,14,1,0,0,0,V,522.46,LC
149,5,31.06,1.54,3.9,1,0,0,0,V,18.17,LC
150,6,77.95,1.13,5.3,1,0,0,0,V,0,LC
